id,name,postcode,region,metro,delivery_id/id,state_id/id
res_city_1,Abbotsbury,2176,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_2,Abbotsford,2046,Central & Inner Metropolitan,Sydney,delivery_zone_1,base.state_au_2
res_city_3,Acacia Gardens,2763,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_4,Agnes Banks,2753,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_5,Airds,2560,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_6,Alexandria,2015,Central & Inner Metropolitan,Sydney,delivery_zone_free,base.state_au_2
res_city_7,Alfords Point,2234,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_8,Allambie Heights,2100,Northern Beaches,Sydney,delivery_zone_free,base.state_au_2
res_city_9,Allawah,2218,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_10,Ambarvale,2560,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_11,Annandale,2038,Central & Inner Metropolitan,Sydney,delivery_zone_free,base.state_au_2
res_city_12,Annangrove,2156,Parramatta-Hills District,Sydney,delivery_zone_exclude,base.state_au_2
res_city_13,Arcadia,2159,Parramatta-Hills District,Sydney,delivery_zone_exclude,base.state_au_2
res_city_14,Arncliffe,2205,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_15,Arndell Park,2148,Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_16,Artarmon,2064,North Shore,Sydney,delivery_zone_free,base.state_au_2
res_city_17,Ashbury,2193,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_18,Ashcroft,2168,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_19,Ashfield,2131,Western Suburbs,Sydney,delivery_zone_1,base.state_au_2
res_city_20,Asquith,2077,North Shore,Sydney,delivery_zone_1,base.state_au_2
res_city_21,Auburn,2144,Western Suburbs,Sydney,delivery_zone_2,base.state_au_2
res_city_22,Austral,2179,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_23,Avalon Beach,2107,Northern Beaches,Sydney,delivery_zone_exclude,base.state_au_2
res_city_24,Badgerys Creek,2555,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_25,Balgowlah,2093,Northern Beaches,Sydney,delivery_zone_free,base.state_au_2
res_city_26,Balgowlah Heights,2093,Northern Beaches,Sydney,delivery_zone_free,base.state_au_2
res_city_27,Balmain,2041,Central & Inner Metropolitan,Sydney,delivery_zone_free,base.state_au_2
res_city_28,Balmain East,2041,Central & Inner Metropolitan,Sydney,delivery_zone_free,base.state_au_2
res_city_29,Bangor,2234,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_30,Banksia,2216,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_31,Banksmeadow,2019,Central & Inner Metropolitan,Sydney,delivery_zone_exclude,base.state_au_2
res_city_32,Bankstown,2200,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_33,Bankstown Aerodrome,2200,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_34,Barangaroo,2000,Central & Inner Metropolitan,Sydney,delivery_zone_exclude,base.state_au_2
res_city_35,Barden Ridge,2234,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_36,Bardia,2565,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_37,Bardwell Park,2207,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_38,Bardwell Valley,2207,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_39,Barra Brui,2075,North Shore,Sydney,delivery_zone_exclude,base.state_au_2
res_city_40,Bass Hill,2197,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_41,Baulkham Hills,2153,Parramatta-Hills District,Sydney,delivery_zone_2,base.state_au_2
res_city_42,Bayview,2104,Northern Beaches,Sydney,delivery_zone_exclude,base.state_au_2
res_city_43,Beacon Hill,2100,Northern Beaches,Sydney,delivery_zone_free,base.state_au_2
res_city_44,Beaconsfield,2015,Central & Inner Metropolitan,Sydney,delivery_zone_exclude,base.state_au_2
res_city_45,Beaumont Hills,2155,Parramatta-Hills District,Sydney,delivery_zone_2,base.state_au_2
res_city_46,Beecroft,2119,Gladesville-Ryde-Eastwood,Sydney,delivery_zone_1,base.state_au_2
res_city_47,Belfield,2191,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_48,Bella Vista,2153,Parramatta-Hills District,Sydney,delivery_zone_exclude,base.state_au_2
res_city_49,Bellevue Hill,2023,Eastern Suburbs,Sydney,delivery_zone_1,base.state_au_2
res_city_50,Belmore,2192,South Western Suburbs,Sydney,delivery_zone_1,base.state_au_2
res_city_51,Belrose,2085,North Shore,Sydney,delivery_zone_free,base.state_au_2
res_city_52,Belrose West,2085,North Shore,Sydney,delivery_zone_free,base.state_au_2
res_city_53,Berala,2141,Western Suburbs,Sydney,delivery_zone_2,base.state_au_2
res_city_54,Berkshire Park,2765,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_55,Berowra,2081,North Shore,Sydney,delivery_zone_2,base.state_au_2
res_city_56,Berowra Creek,2082,North Shore,Sydney,delivery_zone_2,base.state_au_2
res_city_57,Berowra Heights,2082,North Shore,Sydney,delivery_zone_2,base.state_au_2
res_city_58,Berowra Waters,2082,North Shore,Sydney,delivery_zone_2,base.state_au_2
res_city_59,Berrilee,2159,Parramatta-Hills District,Sydney,delivery_zone_exclude,base.state_au_2
res_city_60,Beverley Park,2217,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_61,Beverly Hills,2209,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_62,Bexley,2207,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_63,Bexley North,2207,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_64,Bickley Vale,2570,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_65,Bidwill,2770,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_66,Bilgola Beach,2107,Northern Beaches,Sydney,delivery_zone_exclude,base.state_au_2
res_city_67,Bilgola Plateau,2107,Northern Beaches,Sydney,delivery_zone_exclude,base.state_au_2
res_city_68,Birchgrove,2041,Central & Inner Metropolitan,Sydney,delivery_zone_1,base.state_au_2
res_city_69,Birrong,2143,Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_70,Blackett,2770,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_71,Blacktown,2148,Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_72,Blair Athol,2560,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_73,Blairmount,2559,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_74,Blakehurst,2221,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_75,Bligh Park,2756,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_76,Bondi,2026,Eastern Suburbs,Sydney,delivery_zone_1,base.state_au_2
res_city_77,Bondi Beach,2026,Eastern Suburbs,Sydney,delivery_zone_1,base.state_au_2
res_city_78,Bondi Junction,2022,Eastern Suburbs,Sydney,delivery_zone_1,base.state_au_2
res_city_79,Bonnet Bay,2226,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_80,Bonnyrigg,2177,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_81,Bonnyrigg Heights,2177,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_82,Bossley Park,2176,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_83,Botany,2019,Central & Inner Metropolitan,Sydney,delivery_zone_exclude,base.state_au_2
res_city_84,Bow Bowing,2566,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_85,Box Hill,2765,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_86,Bradbury,2560,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_87,Breakfast Point,2137,Western Suburbs,Sydney,delivery_zone_1,base.state_au_2
res_city_88,Brighton-Le-Sands,2216,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_89,Bringelly,2556,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_90,Bronte,2024,Eastern Suburbs,Sydney,delivery_zone_1,base.state_au_2
res_city_91,Brooklyn,2083,North Shore,Sydney,delivery_zone_exclude,base.state_au_2
res_city_91b,Ku-ring-gai Chase,2083,North Shore,Sydney,delivery_zone_exclude,base.state_au_2
res_city_92,Brookvale,2100,Northern Beaches,Sydney,delivery_zone_free,base.state_au_2
res_city_93,Bundeena,2230,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_93b,Port Hacking,2229,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_94,Bungarribee,2767,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_95,Burwood,2134,Western Suburbs,Sydney,delivery_zone_1,base.state_au_2
res_city_96,Burwood Heights,2136,Western Suburbs,Sydney,delivery_zone_1,base.state_au_2
res_city_97,Burwood North,2134,Western Suburbs,Sydney,delivery_zone_1,base.state_au_2
res_city_98,Busby,2168,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_99,Cabarita,2137,Western Suburbs,Sydney,delivery_zone_1,base.state_au_2
res_city_100,Cabramatta,2166,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_101,Cabramatta West,2166,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_102,Caddens,2747,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_103,Cambridge Gardens,2747,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_104,Cambridge Park,2747,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_105,Camden,2570,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_106,Camden South,2570,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_107,Camellia,2142,Western Suburbs,Sydney,delivery_zone_2,base.state_au_2
res_city_108,Cammeray,2062,North Shore,Sydney,delivery_zone_free,base.state_au_2
res_city_109,Campbelltown,2560,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_110,Camperdown,2050,Central & Inner Metropolitan,Sydney,delivery_zone_free,base.state_au_2
res_city_111,Campsie,2194,South Western Suburbs,Sydney,delivery_zone_1,base.state_au_2
res_city_112,Canada Bay,2046,Central & Inner Metropolitan,Sydney,delivery_zone_1,base.state_au_2
res_city_113,Canley Heights,2166,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_114,Canley Vale,2166,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_115,Canoelands,2157,Parramatta-Hills District,Sydney,delivery_zone_exclude,base.state_au_2
res_city_116,Canterbury,2193,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_117,Caringbah,2229,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_118,Caringbah South,2229,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_119,Carlingford,2118,Gladesville-Ryde-Eastwood,Sydney,delivery_zone_2,base.state_au_2
res_city_120,Carlingford North,2118,Gladesville-Ryde-Eastwood,Sydney,delivery_zone_2,base.state_au_2
res_city_121,Carlton,2218,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_122,Carnes Hill,2171,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_123,Carramar,2163,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_124,Carss Park,2221,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_125,Cartwright,2168,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_126,Castle Cove,2069,North Shore,Sydney,delivery_zone_free,base.state_au_2
res_city_127,Castle Hill,2154,Parramatta-Hills District,Sydney,delivery_zone_2,base.state_au_2
res_city_128,Castlecrag,2068,North Shore,Sydney,delivery_zone_free,base.state_au_2
res_city_129,Castlereagh,2749,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_130,Casula,2170,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_131,Catherine Field,2557,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_132,Cattai,2756,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_133,Cawdor,2570,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_134,Cecil Hills,2171,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_135,Cecil Park,2178,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_136,Centennial Park,2021,Eastern Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_137,Central Business District,2000,Central & Inner Metropolitan,Sydney,delivery_zone_exclude,base.state_au_2
res_city_138,Chatswood,2067,North Shore,Sydney,delivery_zone_free,base.state_au_2
res_city_139,Chatswood West,2067,North Shore,Sydney,delivery_zone_free,base.state_au_2
res_city_140,Cheltenham,2119,Gladesville-Ryde-Eastwood,Sydney,delivery_zone_1,base.state_au_2
res_city_141,Cherrybrook,2126,Gladesville-Ryde-Eastwood,Sydney,delivery_zone_2,base.state_au_2
res_city_142,Chester Hill,2162,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_143,Chifley,2036,Eastern Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_144,Chippendale,2008,Central & Inner Metropolitan,Sydney,delivery_zone_free,base.state_au_2
res_city_145,Chipping Norton,2170,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_146,Chiswick,2046,Central & Inner Metropolitan,Sydney,delivery_zone_1,base.state_au_2
res_city_147,Chullora,2190,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_148,Church Point,2105,Northern Beaches,Sydney,delivery_zone_exclude,base.state_au_2
res_city_149,Claremont Meadows,2747,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_150,Clarendon,2756,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_151,Clareville,2107,Northern Beaches,Sydney,delivery_zone_exclude,base.state_au_2
res_city_152,Claymore,2559,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_153,Clemton Park,2206,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_154,Clontarf,2093,Northern Beaches,Sydney,delivery_zone_free,base.state_au_2
res_city_155,Clovelly,2031,Eastern Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_156,Clyde,2142,Western Suburbs,Sydney,delivery_zone_2,base.state_au_2
